provinsi,tahun,crime_total,is_outlier,population,population_density,pop_extrapolated,crime_rate_per100k,unemployment_rate
Aceh,2015,8048.0,False,4976861.0,85.9,True,161.7,
Aceh,2016,9646.0,False,5035090.0,86.9,True,191.6,
Aceh,2017,8885.0,False,5094000.0,87.9,True,174.4,
Aceh,2018,8758.0,False,5153600.0,88.9,True,169.9,
Aceh,2019,7483.0,False,5213897.0,89.9,True,143.5,
Aceh,2020,7745.0,False,5274900.0,91.0,False,146.8,
Aceh,2021,6651.0,False,5333700.0,92.0,False,124.7,
Aceh,2022,10137.0,False,5407900.0,95.0,False,187.4,
Aceh,2023,12420.0,False,5482500.0,96.0,False,226.5,
Aceh,2024,11934.0,False,5554800.0,98.0,False,214.8,5.654999999999999
Bali,2015,5032.0,False,4073461.0,704.8,True,123.5,
Bali,2016,4764.0,False,4121120.0,713.0,True,115.6,
Bali,2017,3589.0,False,4169337.0,721.4,True,86.1,
Bali,2018,3212.0,False,4218119.0,729.8,True,76.1,
Bali,2019,3047.0,False,4267471.0,738.4,True,71.4,
Bali,2020,2597.0,False,4317400.0,747.0,False,60.2,
Bali,2021,2404.0,False,4362700.0,755.0,False,55.1,
Bali,2022,6304.0,False,4415100.0,790.0,False,142.8,
Bali,2023,11916.0,False,4404300.0,788.0,False,270.6,
Bali,2024,13848.0,False,4433300.0,793.0,False,312.4,1.83
Banten,2015,5002.0,False,11231973.0,1162.4,True,44.5,
Banten,2016,4570.0,False,11363387.0,1176.0,True,40.2,
Banten,2017,3692.0,False,11496339.0,1189.7,True,32.1,
Banten,2018,3490.0,False,11630846.0,1203.7,True,30.0,
Banten,2019,3287.0,False,11766927.0,1217.8,True,27.9,
Banten,2020,4250.0,False,11904600.0,1232.0,False,35.7,
Banten,2021,3434.0,False,12061500.0,1248.0,False,28.5,
Banten,2022,5038.0,False,12252000.0,1310.0,False,41.1,
Banten,2023,7392.0,False,12307700.0,1316.0,False,60.1,
Banten,2024,6868.0,False,12431400.0,1329.0,False,55.2,6.85
Bengkulu,2015,4463.0,False,1897093.0,95.3,True,235.3,
Bengkulu,2016,3345.0,True,1919289.0,96.4,True,174.3,
Bengkulu,2017,4867.0,False,1941744.0,97.5,True,250.7,
Bengkulu,2018,3389.0,False,1964463.0,98.7,True,172.5,
Bengkulu,2019,3453.0,False,1987447.0,99.8,True,173.7,
Bengkulu,2020,3333.0,False,2010700.0,101.0,False,165.8,
Bengkulu,2021,3493.0,False,2032900.0,102.0,False,171.8,
Bengkulu,2022,3613.0,False,2060100.0,102.0,False,175.4,
Bengkulu,2023,5579.0,False,2086000.0,104.0,False,267.4,
Bengkulu,2024,5323.0,False,2112200.0,105.0,False,252.0,3.14
DI Yogyakarta,2015,9692.0,False,3461413.0,1104.8,True,280.0,
DI Yogyakarta,2016,8348.0,False,3501912.0,1117.8,True,238.4,
DI Yogyakarta,2017,7251.0,False,3542884.0,1130.8,True,204.7,
DI Yogyakarta,2018,6731.0,False,3584336.0,1144.1,True,187.8,
DI Yogyakarta,2019,6650.0,False,3626273.0,1157.5,True,183.4,
DI Yogyakarta,2020,7721.0,False,3668700.0,1171.0,False,210.5,
DI Yogyakarta,2021,4774.0,False,3712900.0,1185.0,False,128.6,
DI Yogyakarta,2022,10591.0,False,3761900.0,1186.0,False,281.5,
DI Yogyakarta,2023,12061.0,False,3736500.0,1178.0,False,322.8,
DI Yogyakarta,2024,11659.0,False,3759500.0,1186.0,False,310.1,3.3600000000000003
DKI Jakarta,2015,44461.0,False,9965326.0,15008.2,True,446.2,
DKI Jakarta,2016,43842.0,False,10081921.0,15183.8,True,434.9,
DKI Jakarta,2017,34767.0,False,10199879.0,15361.5,True,340.9,
DKI Jakarta,2018,34655.0,False,10319218.0,15541.2,True,335.8,
DKI Jakarta,2019,31934.0,False,10439953.0,15723.0,True,305.9,
DKI Jakarta,2020,26585.0,False,10562100.0,15907.0,False,251.7,
DKI Jakarta,2021,29103.0,False,10609700.0,15978.0,False,274.3,
DKI Jakarta,2022,32602.0,False,10680000.0,16158.0,False,305.3,
DKI Jakarta,2023,87426.0,False,10672100.0,16146.0,False,819.2,
DKI Jakarta,2024,77261.0,False,10684900.0,16165.0,False,723.1,6.12
Gorontalo,2015,3372.0,False,1105497.0,98.1,True,305.0,
Gorontalo,2016,3763.0,False,1118432.0,99.3,True,336.5,
Gorontalo,2017,3099.0,False,1131517.0,100.4,True,273.9,
